operator,total_historical,compliant_count,non_compliant_count,raw_compliance_rate,compliance_rate_smoothed,total_objects,inactive_on_orbit,inactive_ratio,operator_source,compliance_component,debris_component,reliability_score,confidence,reliability_tier,operator_display
institute of space and astronautical science isasjapan aerospace exploration agency jaxa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Institute Of Space And Astronautical Science Isasjapan Aerospace Exploration Agency Jaxa
hrv,0,0,0,0.0,0.6603402383983336,1,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Hrv
arsat,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Arsat
instituto nacional de pesquisas espaciais inpe,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Instituto Nacional De Pesquisas Espaciais Inpe
intelsatparadigm secure communications wholly owned by eads astrium,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Intelsatparadigm Secure Communications Wholly Owned By Eads Astrium
intelsat sasky perfect jsat corp,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Intelsat Sasky Perfect Jsat Corp
instituto nacional de técnia aeroespacial inta,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Instituto Nacional De Técnia Aeroespacial Inta
bul,3,2,1,0.6666666666666666,0.6635034525325001,4,0,0.0,satcat_owner_code,46.44524167727501,30.0,76.4,medium,high,Bul
shanghai academy of spaceflight technology,3,2,1,0.6666666666666666,0.6635034525325001,18,0,0.0,ucs_operator,46.44524167727501,30.0,76.4,medium,high,Shanghai Academy Of Spaceflight Technology
fin,3,2,1,0.6666666666666666,0.6635034525325001,23,0,0.0,satcat_owner_code,46.44524167727501,30.0,76.4,medium,high,Fin
czch,6,4,2,0.6666666666666666,0.664557857243889,12,0,0.0,satcat_owner_code,46.51905000707223,30.0,76.5,medium,high,Czch
it,48,34,14,0.7083333333333334,0.7055102101018628,107,8,0.07476635514018691,satcat_owner_code,49.3857147071304,27.757009345794394,77.1,high,high,It
unknown,10,7,3,0.7,0.6908477473226924,12,0,0.0,ucs_operator,48.35934231258847,30.0,78.4,high,high,Unknown
esro,7,5,2,0.7142857142857143,0.6981020715195001,7,0,0.0,satcat_owner_code,48.86714500636501,30.0,78.9,medium,high,Esro
cis,2477,1826,651,0.7371820750908357,0.737089121256127,3711,291,0.07841552142279709,satcat_owner_code,51.59623848792889,27.64753435731609,79.2,high,high,Cis
hiber global,4,3,1,0.75,0.7115743878850002,4,0,0.0,ucs_operator,49.81020715195001,30.0,79.8,medium,high,Hiber Global
rwa,4,3,1,0.75,0.7115743878850002,13,0,0.0,satcat_owner_code,49.81020715195001,30.0,79.8,medium,high,Rwa
spn,34,27,7,0.7941176470588235,0.7832708301404054,68,6,0.08823529411764706,satcat_owner_code,54.82895810982838,27.352941176470587,82.2,high,high,Spn
astroforge,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Astroforge
university of colorado boulder,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,University Of Colorado Boulder
21st century aerospace technology 21at,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,21St Century Aerospace Technology 21At
acmeo,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Acmeo
stanford student space initiative,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Stanford Student Space Initiative
synspective,1,1,0,1.0,0.7452551787987501,3,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Synspective
astroscale,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Astroscale
ada space,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Ada Space
changsha tianyi space science and technology research institute co ltd spacety,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Changsha Tianyi Space Science And Technology Research Institute Co Ltd Spacety
austrian space forum oewfspire,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Austrian Space Forum Oewfspire
sternula,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Sternula
agilspace,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Agilspace
university of louisiana at lafayette,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,University Of Louisiana At Lafayette
wuhan university,1,1,0,1.0,0.7452551787987501,3,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Wuhan University
academy of military science,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Academy Of Military Science
xiyong microelectrics park,1,1,0,1.0,0.7452551787987501,6,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Xiyong Microelectrics Park
university of new south walesdepartment of defence,1,1,0,1.0,0.7452551787987501,2,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,University Of New South Walesdepartment Of Defence
aerospacelab,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Aerospacelab
university of maliborskylabs,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,University Of Maliborskylabs
aurora insight,1,1,0,1.0,0.7452551787987501,2,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Aurora Insight
xiamen universityaerospace dongfanghong satellite co ltd casc,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Xiamen Universityaerospace Dongfanghong Satellite Co Ltd Casc
tallinn university of technology,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Tallinn University Of Technology
astronautic technology sdn bhd atsb,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Astronautic Technology Sdn Bhd Atsb
vat,1,1,0,1.0,0.7452551787987501,1,0,0.0,satcat_owner_code,52.16786251591251,30.0,82.2,low,high,Vat
air force research laboratoryglobalstar,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Air Force Research Laboratoryglobalstar
beijing zerog space technology co ltdhong kong aerospace tech group,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Beijing Zerog Space Technology Co Ltdhong Kong Aerospace Tech Group
arm,1,1,0,1.0,0.7452551787987501,1,0,0.0,satcat_owner_code,52.16786251591251,30.0,82.2,low,high,Arm
trustpoint inc,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Trustpoint Inc
tomorrowio,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Tomorrowio
tohoku university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Tohoku University
analytical space,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Analytical Space
tianjin university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Tianjin University
university of brasilia,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,University Of Brasilia
university of california,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,University Of California
c3s llc,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,C3S Llc
university of versailles saintquentinenyvelines uvsqnational centre for scientific research cnrs,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,University Of Versailles Saintquentinenyvelines Uvsqnational Centre For Scientific Research Cnrs
us naval academy,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Us Naval Academy
amsatnepal,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Amsatnepal
cabinet satellite intelligence center csic,1,1,0,1.0,0.7452551787987501,11,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Cabinet Satellite Intelligence Center Csic
california polytechnic institute,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,California Polytechnic Institute
telnet holding,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Telnet Holding
california polytechnic state university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,California Polytechnic State University
university of chile for aerospace investigation,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,University Of Chile For Aerospace Investigation
care weather technologies,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Care Weather Technologies
asiapacific space cooperation organization apsco,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Asiapacific Space Cooperation Organization Apsco
utah state university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Utah State University
casiom,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Casiom
beijing zerog technology co ltd,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Beijing Zerog Technology Co Ltd
airbus defense and space,1,1,0,1.0,0.7452551787987501,3,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Airbus Defense And Space
astro live experiences,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Astro Live Experiences
astrodynamics and control laboratory of yonsei university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Astrodynamics And Control Laboratory Of Yonsei University
visiona tecnologia espacial sa,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Visiona Tecnologia Espacial Sa
air force research laboratoryswedish defense materiel administration,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Air Force Research Laboratoryswedish Defense Materiel Administration
technical university dresden,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Technical University Dresden
university of southern california space engineering research centerlockheed martin,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,University Of Southern California Space Engineering Research Centerlockheed Martin
c3s,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,C3S
sen,1,1,0,1.0,0.7452551787987501,1,0,0.0,satcat_owner_code,52.16786251591251,30.0,82.2,low,high,Sen
spacety aerospace companythrustme,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Spacety Aerospace Companythrustme
insight position digital intelligence technology service co ltd,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Insight Position Digital Intelligence Technology Service Co Ltd
national space program,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,National Space Program
national technical university,1,1,0,1.0,0.7452551787987501,2,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,National Technical University
hubei university of technology hut,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Hubei University Of Technology Hut
noorul islam university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Noorul Islam University
north idaho stem charter academy,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,North Idaho Stem Charter Academy
harris corporation,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Harris Corporation
norwegian space centerstatsat,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Norwegian Space Centerstatsat
gumush aerospaceuniversity of turkish aeronautical association utaa,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Gumush Aerospaceuniversity Of Turkish Aeronautical Association Utaa
government of sudan,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Government Of Sudan
nrs lab atmospheres milieux observations spatiales verrieres,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Nrs Lab Atmospheres Milieux Observations Spatiales Verrieres
orbital sidekick,1,1,0,1.0,0.7452551787987501,2,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Orbital Sidekick
orbital solutions monaco,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Orbital Solutions Monaco
orbital space,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Orbital Space
origin space,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Origin Space
gama,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Gama
planetiq,1,1,0,1.0,0.7452551787987501,3,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Planetiq
plans,1,1,0,1.0,0.7452551787987501,2,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Plans
portland state aerospace society,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Portland State Aerospace Society
institute of software chinese academy of sciences,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Institute Of Software Chinese Academy Of Sciences
ethiopian space science and technology institute,1,1,0,1.0,0.7452551787987501,2,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Ethiopian Space Science And Technology Institute
national center for atmospheric research ncku,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,National Center For Atmospheric Research Ncku
national authority for remote sensing and space sciences,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,National Authority For Remote Sensing And Space Sciences
mexican space agencynanoavionics,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Mexican Space Agencynanoavionics
masdar institute of science and technology,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Masdar Institute Of Science And Technology
michigan technological universityair force research laboratory,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Michigan Technological Universityair Force Research Laboratory
marshall intec,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Marshall Intec
lunasonde,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Lunasonde
lacuna spacenanoavionics,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Lacuna Spacenanoavionics
laboratory for atmospheric and space physics university of colorado boulder,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Laboratory For Atmospheric And Space Physics University Of Colorado Boulder
la sapienza university of romemachakos universityuniversity of nairobi kenya,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,La Sapienza University Of Romemachakos Universityuniversity Of Nairobi Kenya
mohammend bin rashid space centre mbrsc,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Mohammend Bin Rashid Space Centre Mbrsc
korea aerospace research institute kari,1,1,0,1.0,0.7452551787987501,7,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Korea Aerospace Research Institute Kari
momentus inc,1,1,0,1.0,0.7452551787987501,2,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Momentus Inc
nasa goddard space flight center,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Nasa Goddard Space Flight Center
nasa small satellite technology program,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Nasa Small Satellite Technology Program
nasacarnegie mellon university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Nasacarnegie Mellon University
khalifa university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Khalifa University
kenya space agency,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Kenya Space Agency
national aeronautics and space administration nasaames research center,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,National Aeronautics And Space Administration Nasaames Research Center
it university of copenhagen university of southern denmark aalborg university and aarhus university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,It University Of Copenhagen University Of Southern Denmark Aalborg University And Aarhus University
irl,1,1,0,1.0,0.7452551787987501,1,0,0.0,satcat_owner_code,52.16786251591251,30.0,82.2,low,high,Irl
national autonomous university of mexico,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,National Autonomous University Of Mexico
radio amateur society of thailand rast,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Radio Amateur Society Of Thailand Rast
loft orbitalfugro,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Loft Orbitalfugro
esaroyal meteorological institute belgium,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Esaroyal Meteorological Institute Belgium
dubai electricity and water authority dewa,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Dubai Electricity And Water Authority Dewa
dji,1,1,0,1.0,0.7452551787987501,2,0,0.0,satcat_owner_code,52.16786251591251,30.0,82.2,low,high,Dji
shanghai jiao tong universityapsco,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Shanghai Jiao Tong Universityapsco
reaktor space lab,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Reaktor Space Lab
department of defensespace test program,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Department Of Defensespace Test Program
department of defensearmy space and missile defense command,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Department Of Defensearmy Space And Missile Defense Command
department of computer science and the faculty of engineering ariel university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Department Of Computer Science And The Faculty Of Engineering Ariel University
satrevolutionsteamjet,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Satrevolutionsteamjet
deimos,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Deimos
sony,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Sony
college of engineering king saud university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,College Of Engineering King Saud University
cnes centre national détudes spatiales,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Cnes Centre National Détudes Spatiales
clyde space ltdeutelsat,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Clyde Space Ltdeutelsat
chosun university,1,1,0,1.0,0.7452551787987501,2,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Chosun University
spacety,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Spacety
chinese academy of launch vehicle technology calt,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Chinese Academy Of Launch Vehicle Technology Calt
defence science and technology groupuniversity of new south wales,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Defence Science And Technology Groupuniversity Of New South Wales
sapienza,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Sapienza
shanghai lizheng satellite application technology,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Shanghai Lizheng Satellite Application Technology
rom,1,1,0,1.0,0.7452551787987501,1,0,0.0,satcat_owner_code,52.16786251591251,30.0,82.2,low,high,Rom
equator technological university,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Equator Technological University
esaeuropean maritime safety agency,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Esaeuropean Maritime Safety Agency
epic aerospace,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Epic Aerospace
revolutionary guard corps,1,1,0,1.0,0.7452551787987501,2,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Revolutionary Guard Corps
rocket labs,1,1,0,1.0,0.7452551787987501,1,0,0.0,ucs_operator,52.16786251591251,30.0,82.2,low,high,Rocket Labs
prc,286,220,66,0.7692307692307693,0.7681004176996367,1168,45,0.038527397260273974,satcat_owner_code,53.767029238974565,28.84417808219178,82.6,high,high,Prc
japan aerospace exploration agency jaxa,2,2,0,1.0,0.7962041430390001,15,1,0.06666666666666667,ucs_operator,55.73429001273001,28.0,83.7,low,high,Japan Aerospace Exploration Agency Jaxa
blacksky global,6,5,1,0.8333333333333334,0.7756689683550001,16,0,0.0,ucs_operator,54.29682778485001,30.0,84.3,medium,high,Blacksky Global
st petersburg polytechnic university,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,St Petersburg Polytechnic University
elbit systems,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Elbit Systems
us armys space and missile defense command,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Us Armys Space And Missile Defense Command
tianyi research institute,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Tianyi Research Institute
us space force,2,2,0,1.0,0.7962041430390001,5,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Us Space Force
mexico secretariat of national defense sedena,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Mexico Secretariat Of National Defense Sedena
nanoavionics,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Nanoavionics
myradar,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Myradar
chinese academy of space techology cast,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Chinese Academy Of Space Techology Cast
skykraft,2,2,0,1.0,0.7962041430390001,5,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Skykraft
brigham young university,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Brigham Young University
department of defensemissile defense agency,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Department Of Defensemissile Defense Agency
colombian air force,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Colombian Air Force
minospace,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Minospace
lacuna space,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Lacuna Space
nanjing university,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Nanjing University
national aeronautics and space administration nasacornell university,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,National Aeronautics And Space Administration Nasacornell University
university of chile,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,University Of Chile
hong kong aerospace technology group,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Hong Kong Aerospace Technology Group
iqps,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Iqps
national reconnaissance office nro,2,2,0,1.0,0.7962041430390001,48,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,National Reconnaissance Office Nro
general atomics electromagnetic systems,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,General Atomics Electromagnetic Systems
central european institute of technology,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Central European Institute Of Technology
bauman moscow state technical university,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Bauman Moscow State Technical University
shandong institutes of industrial technology,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Shandong Institutes Of Industrial Technology
sateliot iot,2,2,0,1.0,0.7962041430390001,2,0,0.0,ucs_operator,55.73429001273001,30.0,85.7,low,high,Sateliot Iot
head aerospace,5,5,0,1.0,0.8726275893993751,7,1,0.14285714285714285,ucs_operator,61.08393125795626,25.714285714285715,86.8,medium,high,Head Aerospace
iceye ltd,16,14,2,0.875,0.8411063534313158,22,1,0.045454545454545456,ucs_operator,58.877444740192104,28.636363636363637,87.5,high,high,Iceye Ltd
